"id","pessoajuridica","poder","tipojurisdicionado_fk","localidade_fk","nome","codigo_sagres","previdenciario","municipio_importacao","tramita_id","cancelled","esfera"
855,855,1,13,5566,"Secretaria de Estado da Receita","0",FALSE,"Paraíba",855,FALSE,2
839,839,1,13,5566,"Secretaria de Estado do Desenvolvimento e da Articulação Municipal","0",FALSE,"Paraíba",839,FALSE,2
877,877,1,2,5566,"Superintendência de Administração do Meio Ambiente","0",FALSE,"Paraíba",877,FALSE,2
316,316,1,5,5566,"Fundação Estadual do Bem Estar do Menor Alice de Almeida","0",FALSE,"Paraíba",316,FALSE,2
291,291,1,10,5566,"Empresa Paraibana de Turismo S/A","0",FALSE,"Paraíba",291,FALSE,2
15670,15670,1,13,5566,"Secretaria de Estado da Educação","0",FALSE,"Paraíba",15670,FALSE,2
65987,65987,1,2,5566,"Autarquia de Proteção e Defesa do Consumidor - PROCON-PB","0",FALSE,"Paraíba",65987,FALSE,2
849,849,1,13,5566,"Secretaria de Estado do Desenvolvimento Humano","0",FALSE,"Paraíba",849,FALSE,2
255,255,1,10,5566,"Companhia de Processamento de Dados da Paraíba","0",FALSE,"Paraíba",255,FALSE,2
812,812,1,13,5566,"Procuradoria Geral do Estado","0",FALSE,"Paraíba",812,FALSE,2
66957,66957,1,7,5566,"Complexo de Pediatria Arlinda Marques","0",FALSE,"Paraíba",66957,FALSE,2
284,284,1,2,5566,"Departamento Estadual de Trânsito","0",FALSE,"Paraíba",284,FALSE,2
585,585,1,13,5566,"Polícia Militar da Paraíba","0",FALSE,"Paraíba",585,FALSE,2
845,845,1,13,5566,"Secretaria de Estado de Comunicação Institucional","0",FALSE,"Paraíba",845,FALSE,2
258,258,1,10,5566,"Companhia Estadual de Habitação Popular","0",FALSE,"Paraíba",258,FALSE,2
842,842,1,13,5566,"Secretaria de Estado da Agricultura Familiar e do Desenvolvimento do Semiárido","0",FALSE,"Paraíba",842,FALSE,2
84159,84159,1,6,5566,"Fundo do Centro de Convenções de João Pessoa","0",FALSE,"Paraíba",84159,FALSE,2
12745,12745,1,6,5566,"Fundo Estadual de Habitação e Regularização Fundiária de Interesse Social","0",FALSE,"Paraíba",12745,FALSE,2
288,288,1,4,5566,"Empresa Estadual de Pesquisa Agropecuária da Paraíba","0",FALSE,"Paraíba",288,FALSE,2
825,825,1,13,5566,"Secretaria de Estado da Infraestrutura","0",FALSE,"Paraíba",825,FALSE,2
836,836,1,13,5566,"Secretaria de Estado da Juventude Esporte e Lazer","0",FALSE,"Paraíba",836,FALSE,2
840,840,1,13,5566,"Secretaria de Estado da Ciência e Tecnologia e do Meio Ambiente","0",FALSE,"Paraíba",840,FALSE,2
7,7,1,2,5566,"Agência Estadual de Vigilância Sanitária","0",FALSE,"Paraíba",7,FALSE,2
817,817,1,13,5566,"Secretaria de Estado da Administração","0",FALSE,"Paraíba",817,FALSE,2
843,843,1,13,5566,"Secretaria de Estado da Segurança e da Defesa Social","0",FALSE,"Paraíba",843,FALSE,2
847,847,1,13,5566,"Secretaria de Estado do Desenvolvimento da Agropecuaria e da Pesca","0",FALSE,"Paraíba",847,FALSE,2
