"ID","PESSOAJURIDICA","PODER","TIPOJURISDICIONADO_FK","LOCALIDADE_FK","NOME","CODIGO_SAGRES","PREVIDENCIARIO","MUNICIPIO_IMPORTACAO","TRAMITA_ID","CANCELLED","ESFERA"
855,855,1,13,5566,"SECRETARIA DE ESTADO DA RECEITA","0",FALSE,"PARAIBA",855,FALSE,2
839,839,1,13,5566,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO E DA ARTICULACAO MUNICIPAL","0",FALSE,"PARAIBA",839,FALSE,2
877,877,1,2,5566,"SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","0",FALSE,"PARAIBA",877,FALSE,2
316,316,1,5,5566,"FUNDACAO ESTADUAL DO BEM ESTAR DO MENOR ALICE DE ALMEIDA","0",FALSE,"PARAIBA",316,FALSE,2
291,291,1,10,5566,"EMPRESA PARAIBANA DE TURISMO S/A","0",FALSE,"PARAIBA",291,FALSE,2
15670,15670,1,13,5566,"SECRETARIA DE ESTADO DA EDUCACAO","0",FALSE,"PARAIBA",15670,FALSE,2
65987,65987,1,2,5566,"AUTARQUIA DE PROTECAO E DEFESA DO CONSUMIDOR - PROCON-PB","0",FALSE,"PARAIBA",65987,FALSE,2
849,849,1,13,5566,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","0",FALSE,"PARAIBA",849,FALSE,2
255,255,1,10,5566,"COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA","0",FALSE,"PARAIBA",255,FALSE,2
812,812,1,13,5566,"PROCURADORIA GERAL DO ESTADO","0",FALSE,"PARAIBA",812,FALSE,2
66957,66957,1,7,5566,"COMPLEXO DE PEDIATRIA ARLINDA MARQUES","0",FALSE,"PARAIBA",66957,FALSE,2
284,284,1,2,5566,"DEPARTAMENTO ESTADUAL DE TRANSITO","0",FALSE,"PARAIBA",284,FALSE,2
585,585,1,13,5566,"POLICIA MILITAR DA PARAIBA","0",FALSE,"PARAIBA",585,FALSE,2
845,845,1,13,5566,"SECRETARIA DE ESTADO DE COMUNICACAO INSTITUCIONAL","0",FALSE,"PARAIBA",845,FALSE,2
258,258,1,10,5566,"COMPANHIA ESTADUAL DE HABITACAO POPULAR","0",FALSE,"PARAIBA",258,FALSE,2
842,842,1,13,5566,"SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMIARIDO","0",FALSE,"PARAIBA",842,FALSE,2
84159,84159,1,6,5566,"FUNDO DO CENTRO DE CONVENCOES DE JOAO PESSOA","0",FALSE,"PARAIBA",84159,FALSE,2
12745,12745,1,6,5566,"FUNDO ESTADUAL DE HABITACAO E REGULARIZACAO FUNDIARIA DE INTERESSE SOCIAL","0",FALSE,"PARAIBA",12745,FALSE,2
288,288,1,4,5566,"EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DA PARAIBA","0",FALSE,"PARAIBA",288,FALSE,2
825,825,1,13,5566,"SECRETARIA DE ESTADO DA INFRAESTRUTURA","0",FALSE,"PARAIBA",825,FALSE,2
836,836,1,13,5566,"SECRETARIA DE ESTADO DA JUVENTUDE ESPORTE E LAZER","0",FALSE,"PARAIBA",836,FALSE,2
840,840,1,13,5566,"SECRETARIA DE ESTADO DA CIENCIA E TECNOLOGIA E DO MEIO AMBIENTE","0",FALSE,"PARAIBA",840,FALSE,2
7,7,1,2,5566,"AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","0",FALSE,"PARAIBA",7,FALSE,2
817,817,1,13,5566,"SECRETARIA DE ESTADO DA ADMINISTRACAO","0",FALSE,"PARAIBA",817,FALSE,2
843,843,1,13,5566,"SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","0",FALSE,"PARAIBA",843,FALSE,2
847,847,1,13,5566,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUARIA E DA PESCA","0",FALSE,"PARAIBA",847,FALSE,2
878,878,1,2,5566,"SUPERINTENDENCIA DE OBRAS DO PLANO DE DESENV. DO ESTADO","0",FALSE,"PARAIBA",878,FALSE,2
296,296,1,8,5566,"ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA","0",FALSE,"PARAIBA",296,FALSE,2
10,10,2,14,5566,"ASSEMBLEIA LEGISLATIVA","0",FALSE,"PARAIBA",10,FALSE,2
290,290,1,4,5566,"EMPRESA PARAIBANA DE ABASTECIMENTO E SERVICOS AGRICOLAS","0",FALSE,"PARAIBA",290,FALSE,2
306,306,1,5,5566,"FUNDACAO CENTRO INTEGRADO DE APOIO AO PORTADOR DE DEFICIENCIA","0",FALSE,"PARAIBA",306,FALSE,2
15673,15673,1,13,5566,"SECRETARIA DE ESTADO DOS RECURSOS HIDRICOS, DO MEIO AMBIENTE E DA CIENCIA E TECNOLOGIA","0",FALSE,"PARAIBA",15673,FALSE,2
308,308,1,5,5566,"FUNDACAO DE ACAO COMUNITARIA","0",FALSE,"PARAIBA",308,FALSE,2
121,121,2,3,1247,"CAMARA MUNICIPAL DE LAGOA","101101",FALSE,"LAGOA",121,FALSE,1
134,134,2,3,1273,"CAMARA MUNICIPAL DE MARIZOPOLIS","101114",FALSE,"MARIZOPOLIS",134,FALSE,1
137,137,2,3,1395,"CAMARA MUNICIPAL DE MATINHAS","101117",FALSE,"MATINHAS",137,FALSE,1
756,756,1,9,1326,"PREFEITURA MUNICIPAL DE SANTA LUZIA","201170",FALSE,"SANTA LUZIA",756,FALSE,1
759,759,1,9,1310,"PREFEITURA MUNICIPAL DE SANTANA DE MANGUEIRA","201173",FALSE,"SANTANA DE MANGUEIRA",759,FALSE,1
760,760,1,9,1301,"PREFEITURA MUNICIPAL DE SANTANA DOS GARROTES","201174",FALSE,"SANTANA DOS GARROTES",760,FALSE,1
762,762,1,9,1365,"PREFEITURA MUNICIPAL DE SANTO ANDRE","201176",FALSE,"SANTO ANDRE",762,FALSE,1
763,763,1,9,1278,"PREFEITURA MUNICIPAL DE SAO BENTINHO","201177",FALSE,"SAO BENTINHO",763,FALSE,1
764,764,1,9,1250,"PREFEITURA MUNICIPAL DE SAO BENTO","201178",FALSE,"SAO BENTO",764,FALSE,1
765,765,1,9,1279,"PREFEITURA MUNICIPAL DE SAO DOMINGOS","201179",FALSE,"SAO DOMINGOS",765,FALSE,1
766,766,1,9,1366,"PREFEITURA MUNICIPAL DE SAO DOMINGOS DO CARIRI","201180",FALSE,"SAO DOMINGOS DO CARIRI",766,FALSE,1
767,767,1,9,1280,"PREFEITURA MUNICIPAL DE SAO FRANCISCO","201181",FALSE,"SAO FRANCISCO",767,FALSE,1
768,768,1,9,1367,"PREFEITURA MUNICIPAL DE SAO JOAO DO CARIRI","201182",FALSE,"SAO JOAO DO CARIRI",768,FALSE,1
769,769,1,9,1252,"PREFEITURA MUNICIPAL DE SAO JOAO DO RIO DO PEIXE","201183",FALSE,"SAO JOAO DO RIO DO PEIXE",769,FALSE,1
770,770,1,9,1349,"PREFEITURA MUNICIPAL DE SAO JOAO DO TIGRE","201184",FALSE,"SAO JOAO DO TIGRE",770,FALSE,1
771,771,1,9,1281,"PREFEITURA MUNICIPAL DE SAO JOSE DA LAGOA TAPADA","201185",FALSE,"SAO JOSE DA LAGOA TAPADA",771,FALSE,1
779,779,1,9,1350,"PREFEITURA MUNICIPAL DE SAO JOSE DOS CORDEIROS","201193",FALSE,"SAO JOSE DOS CORDEIROS",779,FALSE,1
780,780,1,9,5565,"PREFEITURA MUNICIPAL DE SAO JOSE DOS RAMOS","201194",FALSE,"SAO JOSE DOS RAMOS",780,FALSE,1
781,781,1,9,1328,"PREFEITURA MUNICIPAL DE SAO MAMEDE","201195",FALSE,"SAO MAMEDE",781,FALSE,1
782,782,1,9,1451,"PREFEITURA MUNICIPAL DE SAO MIGUEL DE TAIPU","201196",FALSE,"SAO MIGUEL DE TAIPU",782,FALSE,1
250,250,1,10,5566,"COMPANHIA DE AGUA E ESGOTOS DO ESTADO","0",FALSE,"PARAIBA",250,FALSE,2
260,260,1,10,5566,"COMPANHIA PARAIBANA DE GAS","0",FALSE,"PARAIBA",260,FALSE,2
811,811,4,14,5566,"PROCURADORIA GERAL DE JUSTICA","0",FALSE,"PARAIBA",811,FALSE,2
283,283,1,2,5566,"DEPARTAMENTO DE ESTRADAS DE RODAGEM","0",FALSE,"PARAIBA",283,FALSE,2
575,575,4,14,5566,"MINISTERIO PUBLICO","0",FALSE,"PARAIBA",575,FALSE,2
287,287,1,4,5566,"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL","0",FALSE,"PARAIBA",287,FALSE,2
16,16,1,10,5566,"BANCO DO ESTADO DA PARAIBA S/A","0",FALSE,"PARAIBA",16,FALSE,2
249,249,1,4,5566,"CIDADES HORTIGRANJEIRAS DA PARAIBA S/A","0",FALSE,"PARAIBA",249,FALSE,2
254,254,1,10,5566,"COMPANHIA DE INVESTIMENTOS E INCORPORACOES DA PARAIBA","0",FALSE,"PARAIBA",254,FALSE,2
257,257,1,10,5566,"COMPANHIA ENERGETICA DA BORBOREMA","0",FALSE,"PARAIBA",257,FALSE,2
875,875,1,10,5566,"SERVICO ESTADUAL DE TRANSPORTES URBANOS S/A","0",FALSE,"PARAIBA",875,FALSE,2
876,876,1,10,5566,"SOCIEDADE ANONIMA DE ELETRIFICACAO DA PARAIBA","0",FALSE,"PARAIBA",876,FALSE,2
