ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2016,RIACHAO DO POCO,MARIA AUXILIADORA DIAS DO REGO,DEM,25,DEM / PSL
2016,AGUA BRANCA,EVERTON FIRMINO BATISTA,PMDB,15,PMDB
2016,SOBRADO,GEORGE JOSE PORCIUNCULA PEREIRA COELHO,PSB,40,PSB / PP / PDT / PRB / PT / PTB / PMDB / PPS
2016,AGUIAR,LOURIVAL LACERDA LEITE FILHO,PTB,14,PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN
2016,SAO JOSE DOS RAMOS,EDUARDO GINDRE CAXIAS DE LIMA,PMDB,15,PMDB / PT
2016,ALAGOA GRANDE,ANTONIO DA SILVA SOBRINHO,PSD,55,PRB / PTB / PSD / PT do B
2016,CAPIM,TIAGO ROBERTO LISBOA,PSDB,45,PSDB / PV / PRB / PSD / SD
2016,ALAGOA NOVA,JOSE UCHOA DE AQUINO LEITE,PSDB,45,PSDB / PSD / PTB / PT do B / PHS / PDT / PP / PPS / DEM
2016,CUITE DE MAMANGUAPE,DJAIR MAGNO DANTAS,PSC,20,PSC / PP / PDT / PTN / PC do B
2016,ALAGOINHA,JEOVA JOSE CORREIA DE OLIVEIRA,PMDB,15,PMDB / PSDB / PP / PR / PROS / PSL / PPS / PDT
2016,CURRAL DE CIMA,ANTONIO RIBEIRO SOBRINHO,PSDB,45,PP / PSL / PR / PSDB / PT do B / SD
2016,ALHANDRA,RENATO MENDES LEITE,DEM,25,DEM / PTB / PSDB / PHS / PR / PT do B / PPS / PEN
2016,RIACHAO DO BACAMARTE,ERIVALDO GUEDES DO AMARAL,PSDB,45,PR / DEM / PMDB / PTB / PSC / PSDC / PSDB
2016,SAO JOAO DO RIO DO PEIXE,JOSE AIRTON PIRES DE SOUSA,PP,11,PSDB / PP / PSDC / PTN
2016,MATINHAS,MARIA DE FATIMA SILVA,PSD,55,PP / PSD
2016,ARACAGI,MURILIO DA SILVA NUNES,PSB,40,PSB / PSL / PR / SD / PT do B / PSDB / PT
2016,LOGRADOURO,CELIA MARIA DE QUEIROZ CARVALHO,PSB,40,PSB
2016,ARARA,JOSE AILTON PEREIRA DA SILVA,PSL,17,PRB / PT / PTB / PSL / PR / PHS / PSDB / PSD / PT do B
2016,SERTAOZINHO,JOSE DE SOUZA MACHADO,PSL,17,PSL / PSD / PSDB / DEM / PR
2016,ARARUNA,VITAL DA COSTA ARAUJO,PP,11,PP / PSB / PSL / PSD / PRP / PTB / PR / PRB / PT / PEN / DEM / PPS / PTC / PRTB / PROS / PV
2016,RIACHAO,FABIO MOURA DE MOURA,PTB,14,PTB / PSD / DEM / SD / PSL / PSDB
2016,AREIA,JOAO FRANCISCO BATISTA DE ALBUQUERQUE,PSDB,45,PSDB / PSD / PRB / PTB / PMDB / PSC / PTC / PHS / PPS / PMB
